date,total_events,mean_tone,total_mentions
2013-07-18,143284.0,69.63581418720862,77152.3
2013-07-19,133693.0,70.96148639046173,64830.1
2013-07-20,83682.0,72.05128940512894,28162.899999999998
2013-07-21,79870.0,70.88305997245524,32621.8
2013-07-22,134258.0,69.58861296905957,77226.59999999999
2013-07-23,111209.0,69.52989416324219,67652.2
2013-07-24,131795.0,68.31561895367805,90544.5
2013-07-25,141453.0,76.83679663524133,78383.09999999999
2013-07-26,131908.0,71.21036631591716,56482.1
2013-07-27,81900.0,73.60826617826618,10295.999999999998
2013-07-28,81969.0,70.65912723102636,34329.299999999996
2013-07-29,129702.0,69.6000678478358,77411.0
2013-07-30,140218.0,70.8808053289211,73018.59999999999
2013-07-31,140622.0,69.8310363954431,76950.4
2013-08-01,138923.0,69.23826868121189,92673.1
